year,region,atc,gender,age_group,num_prescriptions,num_patients,per_1000,narcotic_class
2006,14,N03AX24,2,18,0,0,0,II
2006,14,N05BA01,2,5,1127,320,"25,13",IV
2006,14,N07BC02,2,16,2,1,"0,07",II
2006,14,N07BC02,1,11,271,11,"5,58",II
2006,14,N07XX04,1,16,0,0,0,II
2006,14,N07XX04,3,99,0,0,0,II
2006,14,R05DA04,3,99,2043,442,"1,34",III
2006,14,R05FA02,2,15,2933,2097,"95,04",III
2006,17,M03BA02,2,3,0,0,0,IV
2006,17,N01AH06,1,6,0,0,0,II
2006,17,N01AH06,2,7,0,0,0,II
2006,17,N02AA01,3,14,260,34,"18,23",II
2006,17,N02AB01,1,9,24,5,"2,53",II
2006,17,N02AJ06,2,2,33,26,"4,88",III
2006,17,N02AJ09,2,8,169,27,"19,55",III
2006,17,N02AJ09,3,3,1,1,"0,06",III
2006,17,N02AJ13,2,18,0,0,0,III
2006,17,N02BF02,2,9,94,31,"10,48",V
2006,17,N02BG10,1,10,0,0,0,II
2006,17,N05BA01,2,9,1144,164,"127,52",IV
2006,17,N05BA01,1,7,361,65,"44,25",IV
2006,17,N05BA02,2,8,0,0,0,IV
2006,17,N05BA02,2,7,0,0,0,IV
2006,17,N05CC01,3,13,0,0,0,V
2006,17,N05CD08,3,2,0,0,0,IV
2006,17,N06AX27,1,15,0,0,0,IV
2006,17,N06BA04,3,3,894,169,"49,92",II
2006,17,R05DA04,2,8,23,9,"2,66",III
2006,18,A04AD10,2,1,0,0,0,II
2006,18,N01AH06,1,13,0,0,0,II
2006,18,N01AX03,1,6,0,0,0,IV
2006,18,N01AX03,3,3,0,0,0,IV
2006,18,N01AX03,1,12,0,0,0,IV
2006,18,N02AB02,1,3,0,0,0,II
2006,18,N02AC54,2,1,0,0,0,III
2006,18,N02AG01,3,18,37,31,"4,77",II
2006,18,N02AX06,2,7,0,0,0,II
2006,18,N02BG10,1,7,0,0,0,II
2006,18,N03AA02,2,17,188,7,"36,49",IV
2006,18,N05BA02,1,9,0,0,0,IV
2006,18,N05BA09,2,10,0,0,0,IV
2006,18,N05CD05,1,7,11,1,"1,27",IV
2006,18,N06BA01,2,18,0,0,0,II
2006,18,N06BA04,3,12,0,0,0,II
2006,18,N07XX04,3,3,0,0,0,II
2006,18,R05DA04,3,2,0,0,0,III
2006,18,R05FA02,1,16,291,199,"67,96",III
2006,18,R05FB02,2,5,1,1,"0,12",III
2006,19,A04AD10,1,8,0,0,0,II
2006,19,N01AF01,1,18,0,0,0,V
2006,19,N01AH02,3,16,0,0,0,II
2006,19,N01AX14,3,13,0,0,0,IV
2006,19,N02AA03,2,15,0,0,0,II
2006,19,N02AA03,1,3,0,0,0,II
2006,19,N02AB02,1,18,0,0,0,II
2006,19,N02AC04,2,1,0,0,0,III
2006,19,N02AE01,3,16,115,33,"12,44",IV
2006,19,N02AG04,2,15,0,0,0,II
2006,19,N02AX01,3,6,0,0,0,II
2006,19,N02BF02,3,16,171,48,"18,49",V
2006,19,N02BG10,1,1,0,0,0,II
2006,19,N02CA72,2,9,40,21,"4,65",IV
2006,19,N03AE01,1,10,373,30,"45,65",IV
2006,19,N05BA01,1,2,51,25,"7,93",IV
2006,19,N05BA09,1,16,0,0,0,IV
2006,19,N06BA02,1,12,0,0,0,II
2006,19,N07BC05,2,13,0,0,0,II
2006,19,N07XX04,2,18,0,0,0,II
2006,20,A03CA02,2,11,0,0,0,IV
2006,20,A04AD10,2,4,0,0,0,II
2006,20,M03BA02,3,1,0,0,0,IV
2006,20,M03BA02,1,11,69,9,"7,01",IV
2006,20,M03BA52,2,1,0,0,0,IV
2006,20,N01AX14,1,9,0,0,0,IV
2006,20,N02AA01,2,5,3,3,"0,46",II
2006,20,N02AA55,1,99,0,0,0,II
2006,20,N02AA59,2,17,0,0,0,III
2006,20,N02AB01,1,8,26,9,"2,95",II
2006,20,N02AB01,2,6,10,4,"1,59",II
2006,20,N02AD01,2,13,0,0,0,III
2006,20,N02BF02,2,18,123,14,"23,14",V
2006,20,N02CA72,3,6,2,2,"0,15",IV
2006,20,N05BA04,3,16,4713,849,"423,79",IV
2006,20,N05CD05,1,4,0,0,0,IV
2006,20,N06BA04,2,10,9,3,"0,99",II
2006,20,N06BA07,1,8,4,1,"0,45",IV
2006,20,N06BA11,1,6,0,0,0,II
2006,20,R05FA02,3,5,275,240,"19,24",III
2006,21,A07DA01,3,14,0,0,0,II
2006,21,M03BA02,2,4,2,2,"0,22",IV
2006,21,N01AX14,3,7,0,0,0,IV
2006,21,N02AA55,3,2,0,0,0,II
2006,21,N02AB03,2,13,48,15,5,II
2006,21,N02AC54,3,7,0,0,0,III
2006,21,N02AD01,3,7,0,0,0,III
2006,21,N02AE01,3,11,8,2,"0,43",IV
2006,21,N02AJ09,3,99,3586,641,"12,99",III
2006,21,N02AJ13,3,12,0,0,0,III
2006,21,N02AJ13,2,2,0,0,0,III
2006,21,N02CA72,1,1,0,0,0,IV
2006,21,N05BA04,3,5,177,67,"12,29",IV
2006,21,N05BA05,1,18,0,0,0,IV
2006,21,N05BA12,3,6,229,43,"17,07",IV
2006,21,N05BC01,2,10,0,0,0,IV
2006,21,N05CD02,1,5,0,0,0,IV
2006,21,N05CF01,3,5,334,103,"23,18",V
2006,21,N05CM02,1,15,137,20,"23,25",V
2006,21,N05CM02,1,10,27,1,"2,97",V
2006,22,A07DA01,3,4,0,0,0,II
2006,22,M03BA52,1,14,29,7,"4,43",IV
2006,22,N01AH06,1,18,0,0,0,II
2006,22,N02AA03,1,12,4,1,"0,42",II
2006,22,N02AC54,2,13,0,0,0,III
2006,22,N02AG02,2,1,0,0,0,II
2006,22,N02AJ08,3,18,21,7,"3,23",III
2006,22,N02AJ08,1,6,6,1,"0,94",III
2006,22,N02AJ09,1,3,0,0,0,III
2006,22,N02AX01,1,3,0,0,0,II
2006,22,N03AA02,1,3,0,0,0,IV
2006,22,N03AA02,1,7,0,0,0,IV
2006,22,N05BA01,3,11,1041,168,"63,24",IV
2006,22,N05BA04,1,12,553,108,"58,08",IV
2006,22,N05BA09,2,15,0,0,0,IV
2006,22,N05BA12,2,8,34,6,"4,35",IV
2006,22,N05CD02,2,18,1187,197,"268,07",IV
2006,22,N05CD02,3,16,472,119,"46,24",IV
2006,22,N06BA07,3,9,24,7,"1,51",IV
2006,22,N06BA13,2,18,0,0,0,IV
2006,23,A07DA02,3,18,0,0,0,II
2006,23,M03BA52,1,10,6,5,"1,42",IV
2006,23,N02AA03,2,14,0,0,0,II
2006,23,N02AA03,1,15,1,1,"0,38",II
2006,23,N02AA03,2,17,11,3,"4,22",II
2006,23,N02AC54,3,99,0,0,0,III
2006,23,N02AG04,1,99,7,1,"0,11",II
2006,23,N02AX02,3,16,1973,564,"389,69",III
2006,23,N02BF02,2,12,42,15,"9,08",V
2006,23,N02BG10,1,9,0,0,0,II
2006,23,N05BA01,2,5,21,13,"6,27",IV
2006,23,N05BA02,3,15,0,0,0,IV
2006,23,N05BC01,1,1,0,0,0,IV
2006,23,N05CD03,3,7,21,4,"2,8",II
2006,23,N05CD05,2,2,0,0,0,IV
2006,23,N06AX27,2,7,0,0,0,IV
2006,23,N06BA01,2,3,3,1,"0,75",II
2006,23,N07XX59,1,13,0,0,0,V
2006,23,N07XX59,2,10,0,0,0,V
2006,23,R05FA02,1,4,68,66,"14,88",III
2006,24,A03CA02,1,14,0,0,0,IV
2006,24,M03BA02,3,3,0,0,0,IV
2006,24,N01AH51,1,4,0,0,0,II
2006,24,N02AA05,3,14,386,133,"31,24",II
2006,24,N02AA55,1,17,0,0,0,II
2006,24,N02AE01,2,99,807,187,"6,27",IV
2006,24,N03AX24,2,10,0,0,0,II
2006,24,N05BA01,2,7,272,53,"35,88",IV
2006,24,N05BA01,1,10,284,67,"34,09",IV
2006,24,N05BA02,3,7,0,0,0,IV
2006,24,N05BA06,1,7,0,0,0,IV
2006,24,N05BA08,2,13,0,0,0,IV
2006,24,N05CD02,1,1,0,0,0,IV
2006,24,N05CD05,3,10,13,3,"0,79",IV
2006,24,N05CF02,3,2,0,0,0,IV
2006,24,N06BA01,2,1,0,0,0,II
2006,24,N06BA11,1,99,0,0,0,II
2006,24,N07XX04,3,13,0,0,0,II
2006,24,R05DA20,1,4,33,28,"3,62",II
2006,24,R05FB02,1,3,29,23,"3,24",III
2006,25,A03CA02,1,4,0,0,0,IV
2006,25,N02AB02,3,4,0,0,0,II
2006,25,N02AC04,3,1,0,0,0,III
2006,25,N02AE01,3,12,126,31,"6,57",IV
2006,25,N02AG02,3,3,1,1,"0,06",II
2006,25,N02AJ06,1,14,629,189,"94,86",III
2006,25,N03AE01,2,14,105,22,"14,89",IV
2006,25,N05BA01,1,15,275,73,"48,47",IV
2006,25,N05BA04,1,1,0,0,0,IV
